Symbol,Date,Close
RBC,02/01/2014,73.28
RBC,03/01/2014,73.64
SHOP,06/01/2014,73.18
SHOP,07/01/2014,74.36
SHOP,08/01/2014,74.64
SHOP,09/01/2014,75.67
SHOP,10/01/2014,77.27
SHOP,13/01/2014,76.58
SHOP,14/01/2014,78.26
SHOP,15/01/2014,80.02
SHOP,16/01/2014,79
SHOP,17/01/2014,78.77
SHOP,21/01/2014,79.36
SHOP,22/01/2014,79.55
SHOP,23/01/2014,77.88
SHOP,24/01/2014,75.13
SHOP,27/01/2014,74.32
SHOP,28/01/2014,75.22
SHOP,29/01/2014,74.49
SHOP,30/01/2014,75.58
SHOP,31/01/2014,74.09
SHOP,03/02/2014,70.64
SHOP,04/02/2014,71.97
SHOP,05/02/2014,71.63
SHOP,06/02/2014,71.71
SHOP,07/02/2014,72.63
SHOP,10/02/2014,73.52
SHOP,11/02/2014,70.85
SHOP,12/02/2014,72.59
SHOP,13/02/2014,72.98
SHOP,14/02/2014,72.75
SHOP,18/02/2014,72.42
SHOP,19/02/2014,72.22
SHOP,20/02/2014,72.13
SHOP,21/02/2014,72.19
SHOP,24/02/2014,72.52
SHOP,25/02/2014,71.85
SHOP,26/02/2014,72.7
SHOP,27/02/2014,73.01
SHOP,28/02/2014,73.69
SHOP,03/03/2014,73.42
SHOP,04/03/2014,74.43
SHOP,05/03/2014,74.89
SHOP,06/03/2014,75.7
SHOP,07/03/2014,75.96
SHOP,10/03/2014,74.71
SHOP,11/03/2014,73.79
SHOP,12/03/2014,72.35
SHOP,13/03/2014,71.25
SHOP,14/03/2014,70.92
SHOP,17/03/2014,71.1
SHOP,18/03/2014,71.39
SHOP,19/03/2014,72.1
SHOP,20/03/2014,72.73
SHOP,21/03/2014,73.21
SHOP,24/03/2014,72.44
SHOP,25/03/2014,72.69
SHOP,26/03/2014,71.48
SHOP,27/03/2014,70.95
SHOP,28/03/2014,71.3
SHOP,31/03/2014,72.71
SHOP,01/04/2014,74.06
SHOP,02/04/2014,74.44
SHOP,03/04/2014,74.61
SHOP,04/04/2014,73.47
SHOP,07/04/2014,70.9
SHOP,08/04/2014,71.47
SHOP,09/04/2014,72.7
SHOP,10/04/2014,71.96
SHOP,11/04/2014,72.01
SHOP,14/04/2014,72.59
SHOP,15/04/2014,74.54
SHOP,16/04/2014,74.42
SHOP,17/04/2014,75.03
SHOP,21/04/2014,74.3
SHOP,22/04/2014,74.5
SHOP,23/04/2014,74.12
SHOP,24/04/2014,74.34
SHOP,25/04/2014,73.85
SHOP,28/04/2014,73.03
SHOP,29/04/2014,73.42
SHOP,30/04/2014,74.73
SHOP,01/05/2014,74.82
SHOP,02/05/2014,75.25
SHOP,05/05/2014,74.9
SHOP,06/05/2014,76.22
SHOP,07/05/2014,75.76
SHOP,08/05/2014,75.48
SHOP,09/05/2014,75.73
SHOP,12/05/2014,77.05
SHOP,13/05/2014,76.81
SHOP,14/05/2014,75.21
SHOP,15/05/2014,74.55
SHOP,16/05/2014,75.17
SHOP,19/05/2014,75.98
SHOP,20/05/2014,74.61
SHOP,21/05/2014,75.38
SHOP,22/05/2014,76.87
SHOP,23/05/2014,76.75
SHOP,27/05/2014,76.79
SHOP,28/05/2014,76.76
SHOP,29/05/2014,77.12
SHOP,30/05/2014,76.33
SHOP,02/06/2014,77.34
SHOP,03/06/2014,76.63
SHOP,04/06/2014,76.69
SHOP,05/06/2014,77.94
SHOP,06/06/2014,78.73
SHOP,09/06/2014,79.73
SHOP,10/06/2014,79.27
SHOP,11/06/2014,78.43
SHOP,12/06/2014,77.84
SHOP,13/06/2014,78.21
SHOP,16/06/2014,77.71
SHOP,17/06/2014,79.14
SHOP,18/06/2014,78.77
SHOP,19/06/2014,79.21
SHOP,20/06/2014,78.9
SHOP,23/06/2014,78.59
SHOP,24/06/2014,77.66
SHOP,25/06/2014,77.8
SHOP,26/06/2014,77.48
SHOP,27/06/2014,78.02
SHOP,30/06/2014,78.56
SHOP,01/07/2014,78.8
SHOP,02/07/2014,77.84
SHOP,03/07/2014,77.87
SHOP,07/07/2014,77.14
SHOP,08/07/2014,77.06
SHOP,09/07/2014,77.76
SHOP,10/07/2014,76.72
SHOP,11/07/2014,77.01
SHOP,14/07/2014,77.92
SHOP,15/07/2014,77.93
SHOP,16/07/2014,77.64
SHOP,17/07/2014,76.25
SHOP,18/07/2014,77.1
SHOP,21/07/2014,76.71
SHOP,22/07/2014,77.27
SHOP,23/07/2014,76.89
SHOP,24/07/2014,76.85
SHOP,25/07/2014,76.41
SHOP,28/07/2014,76.4
SHOP,29/07/2014,76.5
SHOP,30/07/2014,70.9
SHOP,31/07/2014,70.29
SHOP,01/08/2014,70.05
SHOP,04/08/2014,70.28
SHOP,05/08/2014,69.73
SHOP,06/08/2014,69.31
SHOP,07/08/2014,68.36
SHOP,08/08/2014,68.75
SHOP,11/08/2014,69.41
SHOP,12/08/2014,70.05
SHOP,13/08/2014,70.57
SHOP,14/08/2014,70.75
SHOP,15/08/2014,70.5
SHOP,18/08/2014,71.01
SHOP,19/08/2014,71.16
SHOP,20/08/2014,70.03
SHOP,21/08/2014,70.67
SHOP,22/08/2014,70.87
SHOP,25/08/2014,71.35
SHOP,26/08/2014,71.29
SHOP,27/08/2014,71.3
SHOP,28/08/2014,71.34
SHOP,29/08/2014,71.07
SHOP,02/09/2014,71.06
SHOP,03/09/2014,71.29
SHOP,04/09/2014,71.37
SHOP,05/09/2014,71.34
SHOP,08/09/2014,71.15
SHOP,09/09/2014,70.3
SHOP,10/09/2014,70.21
SHOP,11/09/2014,70.46
SHOP,12/09/2014,69.86
SHOP,15/09/2014,69.59
SHOP,16/09/2014,69.65
SHOP,17/09/2014,69.25
SHOP,18/09/2014,68.83
SHOP,19/09/2014,67.89
SHOP,22/09/2014,65.84
SHOP,23/09/2014,65.5
SHOP,24/09/2014,65.91
SHOP,25/09/2014,65.47
SHOP,26/09/2014,65.88
SHOP,29/09/2014,65.5
SHOP,30/09/2014,64.25
SHOP,01/10/2014,64.4
SHOP,02/10/2014,65.3
SHOP,03/10/2014,66
SHOP,06/10/2014,65.54
SHOP,07/10/2014,64.75
SHOP,08/10/2014,65.9
