Symbol,Date,Close
OTEX,21/05/2015,25.68
OTEX,22/05/2015,28.31
OTEX,26/05/2015,29.65
OTEX,27/05/2015,27.5
OTEX,28/05/2015,27.45
OTEX,29/05/2015,27.2
OTEX,01/06/2015,27.33
OTEX,02/06/2015,26.95
OTEX,03/06/2015,27.44
OTEX,04/06/2015,26.78
OTEX,05/06/2015,27.39
OTEX,08/06/2015,26.98
OTEX,09/06/2015,28.34
OTEX,10/06/2015,28.1
OTEX,11/06/2015,30.73
OTEX,12/06/2015,33.63
OTEX,15/06/2015,35.5
OTEX,16/06/2015,38.11
OTEX,17/06/2015,38.63
OTEX,18/06/2015,35.55
OTEX,19/06/2015,35.52
OTEX,22/06/2015,36.94
OTEX,23/06/2015,35.43
OTEX,24/06/2015,35.96
OTEX,25/06/2015,34.84
OTEX,26/06/2015,33.52
OTEX,29/06/2015,31.32
OTEX,30/06/2015,33.95
OTEX,01/07/2015,31.11
OTEX,02/07/2015,31.31
OTEX,06/07/2015,30.53
OTEX,07/07/2015,30.76
OTEX,08/07/2015,29.19
OTEX,09/07/2015,29.06
OTEX,10/07/2015,29.6
OTEX,13/07/2015,30.42
OTEX,14/07/2015,30.86
OTEX,15/07/2015,29.34
OTEX,16/07/2015,29.39
OTEX,17/07/2015,32.27
OTEX,20/07/2015,33.75
OTEX,21/07/2015,33.22
OTEX,22/07/2015,32.14
OTEX,23/07/2015,33.11
OTEX,24/07/2015,33.57
OTEX,27/07/2015,32.87
OTEX,28/07/2015,34.06
OTEX,29/07/2015,34.16
OTEX,30/07/2015,38.13
OTEX,31/07/2015,37.39
OTEX,03/08/2015,40.36
OTEX,04/08/2015,38.41
OTEX,05/08/2015,38.45
OTEX,06/08/2015,36.28
OTEX,07/08/2015,35.16
OTEX,10/08/2015,33.47
OTEX,11/08/2015,35.14
OTEX,12/08/2015,34.73
OTEX,13/08/2015,35.31
OTEX,14/08/2015,34.56
OTEX,17/08/2015,34.41
OTEX,18/08/2015,32.6
OTEX,19/08/2015,31.1
OTEX,20/08/2015,29.22
OTEX,21/08/2015,27.77
OTEX,24/08/2015,26.28
OTEX,25/08/2015,26.93
OTEX,26/08/2015,28.22
OTEX,27/08/2015,28.51
OTEX,28/08/2015,28
OTEX,31/08/2015,27.54
OTEX,01/09/2015,26.6
OTEX,02/09/2015,26.7
OTEX,03/09/2015,27.15
OTEX,04/09/2015,26.81
OTEX,08/09/2015,27.14
OTEX,09/09/2015,26.01
OTEX,10/09/2015,25.77
OTEX,11/09/2015,26.36
OTEX,14/09/2015,27.21
OTEX,15/09/2015,28.11
OTEX,16/09/2015,28.91
OTEX,17/09/2015,35.55
OTEX,18/09/2015,35.66
OTEX,21/09/2015,34.83
OTEX,22/09/2015,33.66
OTEX,23/09/2015,33.5
OTEX,24/09/2015,33.47
OTEX,25/09/2015,33.91
OTEX,28/09/2015,33.05
OTEX,29/09/2015,33.64
OTEX,30/09/2015,35.2
OTEX,01/10/2015,35.07
OTEX,02/10/2015,35.81
OTEX,05/10/2015,36.76
OTEX,06/10/2015,36.21
OTEX,07/10/2015,37.33
OTEX,08/10/2015,38.24
OTEX,09/10/2015,37.02
OTEX,12/10/2015,34.31
OTEX,13/10/2015,33.12
OTEX,14/10/2015,33.64
OTEX,15/10/2015,34.14
OTEX,16/10/2015,34.33
OTEX,19/10/2015,33.36
OTEX,20/10/2015,31.5
OTEX,21/10/2015,31.95
OTEX,22/10/2015,32.01
OTEX,23/10/2015,31.66
OTEX,26/10/2015,31.07
OTEX,27/10/2015,31.04
OTEX,28/10/2015,31.12
OTEX,29/10/2015,31.59
OTEX,30/10/2015,32.22
OTEX,02/11/2015,30.96
OTEX,03/11/2015,31.44
OTEX,04/11/2015,31.75
OTEX,05/11/2015,31.62
OTEX,06/11/2015,31.54
OTEX,09/11/2015,30.23
OTEX,10/11/2015,28.59
OTEX,11/11/2015,28.18
OTEX,12/11/2015,28.86
OTEX,13/11/2015,28.33
OTEX,16/11/2015,27.35
OTEX,17/11/2015,26.39
OTEX,18/11/2015,28
OTEX,19/11/2015,29.45
OTEX,20/11/2015,28.23
OTEX,23/11/2015,28.87
OTEX,24/11/2015,26.95
OTEX,25/11/2015,26.44
OTEX,27/11/2015,26.71
OTEX,30/11/2015,26.34
OTEX,01/12/2015,26.28
OTEX,02/12/2015,26.41
OTEX,03/12/2015,26.83
OTEX,04/12/2015,27.12
OTEX,07/12/2015,26.88
OTEX,08/12/2015,26.48
OTEX,09/12/2015,24.81
OTEX,10/12/2015,24.96
OTEX,11/12/2015,24.76
OTEX,14/12/2015,24.56
OTEX,15/12/2015,25.36
OTEX,16/12/2015,26.21
OTEX,17/12/2015,26.53
OTEX,18/12/2015,25.31
OTEX,21/12/2015,24.45
OTEX,22/12/2015,24.66
OTEX,23/12/2015,24.92
OTEX,24/12/2015,25.34
OTEX,28/12/2015,24.84
OTEX,29/12/2015,25.18
OTEX,30/12/2015,25.98
OTEX,31/12/2015,25.8
OTEX,04/01/2016,25.72
OTEX,05/01/2016,25.31
OTEX,06/01/2016,25.3
OTEX,07/01/2016,24.67
OTEX,08/01/2016,24.93
OTEX,11/01/2016,23.87
OTEX,12/01/2016,23.74
OTEX,13/01/2016,21.38
OTEX,14/01/2016,20.64
OTEX,15/01/2016,19.89
OTEX,19/01/2016,20.3
OTEX,20/01/2016,20.53
OTEX,21/01/2016,22.79
OTEX,22/01/2016,23.07
OTEX,25/01/2016,23.13
OTEX,26/01/2016,23.09
OTEX,27/01/2016,22
OTEX,28/01/2016,22.5
OTEX,29/01/2016,23.22
OTEX,01/02/2016,23.53
OTEX,02/02/2016,22.62
OTEX,03/02/2016,23
OTEX,04/02/2016,23.48
OTEX,05/02/2016,21.87
OTEX,08/02/2016,20.38
OTEX,09/02/2016,19.85
OTEX,10/02/2016,19.97
OTEX,11/02/2016,19.37
OTEX,12/02/2016,19.33
OTEX,16/02/2016,20.5
OTEX,17/02/2016,22.37
OTEX,18/02/2016,20.59
OTEX,19/02/2016,20.57
OTEX,22/02/2016,21.21
OTEX,23/02/2016,20.04
OTEX,24/02/2016,21.02
OTEX,25/02/2016,21.66
OTEX,26/02/2016,22
OTEX,29/02/2016,22.38
OTEX,01/03/2016,22.69
OTEX,02/03/2016,24.36
OTEX,03/03/2016,24.27
OTEX,04/03/2016,25.16
OTEX,07/03/2016,25.87
OTEX,08/03/2016,26.79
OTEX,09/03/2016,26.07
OTEX,10/03/2016,25.39
OTEX,11/03/2016,26.7
OTEX,14/03/2016,26.58
OTEX,15/03/2016,25.83
OTEX,16/03/2016,26.8
OTEX,17/03/2016,27.15
OTEX,18/03/2016,28.49
OTEX,21/03/2016,28.04
OTEX,22/03/2016,27.51
OTEX,23/03/2016,26.2
OTEX,24/03/2016,26.99
OTEX,28/03/2016,27.59
OTEX,29/03/2016,27.97
OTEX,30/03/2016,27.77
OTEX,31/03/2016,28.21
OTEX,01/04/2016,28.45
OTEX,04/04/2016,29.3
OTEX,05/04/2016,28.75
OTEX,06/04/2016,29.5
OTEX,07/04/2016,29.21
OTEX,08/04/2016,29.55
OTEX,11/04/2016,29.52
OTEX,12/04/2016,29.77
OTEX,13/04/2016,29.8
OTEX,14/04/2016,30.96
OTEX,15/04/2016,30.97
OTEX,18/04/2016,31.53
OTEX,19/04/2016,32.05
OTEX,20/04/2016,31.5
OTEX,21/04/2016,31.53
OTEX,22/04/2016,31.81
OTEX,25/04/2016,31.13
OTEX,26/04/2016,31.47
OTEX,27/04/2016,31.83
OTEX,28/04/2016,31.75
OTEX,29/04/2016,31.85
OTEX,02/05/2016,31.41
OTEX,03/05/2016,30.74
OTEX,04/05/2016,29.61
OTEX,05/05/2016,28.52
OTEX,06/05/2016,27.72
OTEX,09/05/2016,26.46
OTEX,10/05/2016,26.63
OTEX,11/05/2016,26.27
OTEX,12/05/2016,26.95
OTEX,13/05/2016,26.29
OTEX,16/05/2016,26.16
OTEX,17/05/2016,26.8
OTEX,18/05/2016,26.34
OTEX,19/05/2016,25.97
OTEX,20/05/2016,26.1
OTEX,23/05/2016,26.82
OTEX,24/05/2016,27.06
OTEX,25/05/2016,28.2
OTEX,26/05/2016,27.76
OTEX,27/05/2016,28.57
OTEX,31/05/2016,29.29
OTEX,01/06/2016,31.07
OTEX,02/06/2016,29.84
OTEX,03/06/2016,29.58
OTEX,06/06/2016,30
OTEX,07/06/2016,29.86
OTEX,08/06/2016,30.09
OTEX,09/06/2016,29.41
OTEX,10/06/2016,28.28
OTEX,13/06/2016,27.99
OTEX,14/06/2016,29.05
OTEX,15/06/2016,28.66
OTEX,16/06/2016,28.37
OTEX,17/06/2016,28.94
OTEX,20/06/2016,29.77
OTEX,21/06/2016,29.87
OTEX,22/06/2016,29.81
OTEX,23/06/2016,31.2
OTEX,24/06/2016,29.07
OTEX,27/06/2016,27.16
OTEX,28/06/2016,28.54
OTEX,29/06/2016,30.32
OTEX,30/06/2016,30.76
OTEX,01/07/2016,30.83
OTEX,05/07/2016,30.61
OTEX,06/07/2016,30.65
OTEX,07/07/2016,30.37
OTEX,08/07/2016,31
OTEX,11/07/2016,31.85
OTEX,12/07/2016,32.49
OTEX,13/07/2016,31.99
OTEX,14/07/2016,32.1
OTEX,15/07/2016,32.32
OTEX,18/07/2016,32.2
OTEX,19/07/2016,33.26
OTEX,20/07/2016,33.09
OTEX,21/07/2016,32.73
OTEX,22/07/2016,32.87
OTEX,25/07/2016,32.6
OTEX,26/07/2016,32.55
OTEX,27/07/2016,33.21
OTEX,28/07/2016,34.27
OTEX,29/07/2016,34.27
OTEX,01/08/2016,34.05
OTEX,02/08/2016,33.53
OTEX,03/08/2016,36.79
OTEX,04/08/2016,36.85
OTEX,05/08/2016,37.01
OTEX,08/08/2016,38.31
OTEX,09/08/2016,38.79
OTEX,10/08/2016,39.29
OTEX,11/08/2016,39.91
OTEX,12/08/2016,39.38
OTEX,15/08/2016,39.08
OTEX,16/08/2016,38.37
OTEX,17/08/2016,38.74
OTEX,18/08/2016,40.25
OTEX,19/08/2016,42.41
OTEX,22/08/2016,42.47
OTEX,23/08/2016,41.76
OTEX,24/08/2016,40.94
OTEX,25/08/2016,40.63
OTEX,26/08/2016,41.52
OTEX,29/08/2016,41.39
OTEX,30/08/2016,41.29
OTEX,31/08/2016,41.36
OTEX,01/09/2016,40.67
OTEX,02/09/2016,42.42
OTEX,06/09/2016,43.19
OTEX,07/09/2016,42.78
OTEX,08/09/2016,43.21
OTEX,09/09/2016,41.04
OTEX,12/09/2016,41.63
OTEX,13/09/2016,40.57
OTEX,14/09/2016,40.9
OTEX,15/09/2016,41.77
OTEX,16/09/2016,41.49
OTEX,19/09/2016,42.95
OTEX,20/09/2016,42.46
OTEX,21/09/2016,44.5
OTEX,22/09/2016,43.86
OTEX,23/09/2016,43.35
OTEX,26/09/2016,43.2
OTEX,27/09/2016,43.87
OTEX,28/09/2016,42.75
OTEX,29/09/2016,42.96
OTEX,30/09/2016,42.92
OTEX,03/10/2016,43.03
