Symbol,Date,Close
AAPL,1/2/2018 ,43.07
AAPL,1/3/2018 ,43.06
AAPL,1/4/2018 ,43.26
AAPL,1/5/2018 ,43.75
AAPL,1/8/2018 ,43.59
AAPL,1/9/2018 ,43.58
AAPL,1/10/2018,43.57
AAPL,1/11/2018,43.82
AAPL,1/12/2018,44.27
AAPL,1/16/2018,44.05
AAPL,1/17/2018,44.78
AAPL,1/18/2018,44.82
AAPL,1/19/2018,44.62
AAPL,1/22/2018,44.25
AAPL,1/23/2018,44.26
AAPL,1/24/2018,43.56
AAPL,1/25/2018,42.78
AAPL,1/26/2018,42.88
AAPL,1/29/2018,41.99
AAPL,1/30/2018,41.74
AAPL,1/31/2018,41.86
AAPL,2/1/2018 ,41.95
AAPL,2/2/2018 ,40.13
AAPL,2/5/2018 ,39.12
AAPL,2/6/2018 ,40.76
AAPL,2/7/2018 ,39.89
AAPL,2/8/2018 ,38.79
AAPL,2/9/2018 ,39.1
AAPL,2/12/2018,40.68
AAPL,2/13/2018,41.09
AAPL,2/14/2018,41.84
AAPL,2/15/2018,43.25
AAPL,2/16/2018,43.11
AAPL,2/20/2018,42.96
AAPL,2/21/2018,42.77
AAPL,2/22/2018,43.13
AAPL,2/23/2018,43.88
AAPL,2/26/2018,44.74
AAPL,2/27/2018,44.6
AAPL,2/28/2018,44.53
AAPL,3/1/2018 ,43.75
AAPL,3/2/2018 ,44.05
AAPL,3/5/2018 ,44.21
AAPL,3/6/2018 ,44.17
AAPL,3/7/2018 ,43.76
AAPL,3/8/2018 ,44.24
AAPL,3/9/2018 ,45
AAPL,3/12/2018,45.43
AAPL,3/13/2018,44.99
AAPL,3/14/2018,44.61
AAPL,3/15/2018,44.66
AAPL,3/16/2018,44.51
AAPL,3/19/2018,43.83
AAPL,3/20/2018,43.81
AAPL,3/21/2018,42.82
AAPL,3/22/2018,42.21
AAPL,3/23/2018,41.24
AAPL,3/26/2018,43.19
AAPL,3/27/2018,42.09
AAPL,3/28/2018,41.62
AAPL,3/29/2018,41.95
AAPL,4/2/2018 ,41.67
AAPL,4/3/2018 ,42.1
AAPL,4/4/2018 ,42.9
AAPL,4/5/2018 ,43.2
AAPL,4/6/2018 ,42.1
AAPL,4/9/2018 ,42.51
AAPL,4/10/2018,43.31
AAPL,4/11/2018,43.11
AAPL,4/12/2018,43.54
AAPL,4/13/2018,43.68
AAPL,4/16/2018,43.96
AAPL,4/17/2018,44.56
AAPL,4/18/2018,44.46
AAPL,4/19/2018,43.2
AAPL,4/20/2018,41.43
AAPL,4/23/2018,41.31
